,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
160,"Work from Home (feat. Ty Dolla $ign)","Fifth Harmony",28259,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
161,"Einer von Millionen (feat. Motrip)",Kollegah,28073,https://open.spotify.com/track/0Z4AOIqWrH3pNwHGScZFuJ
162,"Savage (feat. Flux Pavilion & MAX)",Whethan,27918,https://open.spotify.com/track/1Rl40PsX4mh9xVOeGHq86B
163,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""","Ed Sheeran",27798,https://open.spotify.com/track/3B7udSGy2PfgoCniMSb523
164,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",27780,https://open.spotify.com/track/0L7loeTIg6akW84aEQZpCT
165,"Love Me","Jane XØ",27699,https://open.spotify.com/track/1kFJTEnAvJ70S5mXplUAFR
166,"Wenn sie tanzt","Max Giesinger",27321,https://open.spotify.com/track/5yKfZwcuSoEkOemLJX6hEm
167,"Thinking out Loud","Ed Sheeran",27196,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
168,"Hütte im Wald",Kianush,27077,https://open.spotify.com/track/4D5Ew9tEw8AAahXfC47v35
169,"Conni wird 3",Conni,27032,https://open.spotify.com/track/7eeAy0OR3qDTKVipBApudX
170,Sexual,NEIKED,26846,https://open.spotify.com/track/3AsAuGTaDQzavZZThyYlop
171,Ala'ba'ba,"Capital Bra",26841,https://open.spotify.com/track/4ZVopOP1QK5OqfW3UE7wft
172,"Final Song",MØ,26694,https://open.spotify.com/track/4qqArAiTPueDxIp7cf87h7
173,"All Or Nothing (feat. Axel Ehnström)","Lost Frequencies",26635,https://open.spotify.com/track/11pNf8SA2U3PXzLca8BFt6
174,"Comin Out Strong (feat. The Weeknd)",Future,26583,https://open.spotify.com/track/3mRcWCyteY2133a7xVMrYw
175,"El Amante","Nicky Jam",26574,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
176,"Without Me",Eminem,26302,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
177,"Let Me Hold You (Turn Me On)","Dante Klein",26235,https://open.spotify.com/track/0lmdsH1MIoLsMymnNpd6HU
178,"Fresh Eyes","Andy Grammer",26229,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3
179,"The Other",Lauv,26210,https://open.spotify.com/track/1lntL1cI2UIWlxjL5QiN8g
180,Bungalow,Bilderbuch,26180,https://open.spotify.com/track/0xCXcq4y44uHJtJ7zZDF3d
181,Ride,"Twenty One Pilots",26147,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
182,247,Laruzo,26143,https://open.spotify.com/track/5FnRT97hnqXEK8rTA6FJzy
183,"Großes Kaliber","Bonez MC",26033,https://open.spotify.com/track/1KiA2qmRxsedA1mKPceIov
184,"All We Know","The Chainsmokers",26030,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
185,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",26018,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
186,"Shape of You (feat. Nyla & Kranium) - Major Lazer Remix","Ed Sheeran",25904,https://open.spotify.com/track/1KqvRRQd3lfM0pAlkGPrgD
187,"Jagen die Mio",Luciano,25898,https://open.spotify.com/track/5wRPVa6hCNtRm3Qay2K7RW
188,"182 - Im Haus des Henkers - Teil 01","Die drei ???",25808,https://open.spotify.com/track/1Bmk3YPQdN6ZF2mkg1p6ji
189,"Party Monster","The Weeknd",25799,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt
190,"I Was Wrong - Robin Schulz Remix","A R I Z O N A",25595,https://open.spotify.com/track/3TZ3MiMILR5wrQbbWiFUwI
191,T-Shirt,Migos,25500,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
192,Sidechick,Majoe,25480,https://open.spotify.com/track/0MhAmNC40AUHdpHSq04wsT
193,"Move Your Body - Alan Walker Remix",Sia,25361,https://open.spotify.com/track/6LUOMjoORvAkdhBYvESO46
194,"City Of Stars - From ""La La Land"" Soundtrack","Ryan Gosling",25244,https://open.spotify.com/track/0LtVx5vsq9nfpGsWgjUin6
195,"So wie du bist",MoTrip,25197,https://open.spotify.com/track/12SH8NE1e17yItgsb2gitp
196,Pocahontas,AnnenMayKantereit,25037,https://open.spotify.com/track/140GdyvzODCuH2w5oL8F4e
197,"Me, Myself & I",G-Eazy,24974,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
198,Kuku187,"Capital Bra",24951,https://open.spotify.com/track/3xLJfPdE8ovTZ0Helln3eV
199,"Erfolg ist kein Glück","Kontra K",24950,https://open.spotify.com/track/4xuVfUXkHe1YZZZWNICGcV
200,"Love Yourself","Justin Bieber",24911,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
